"cluster" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species" "BOLD_bin" "updated_BIN_annotation" "updated_BIN_annotation_n_records" "updated_BIN_annotation_prop" "dyntaxa_match" "dyntaxa_name" "SE_occurrence"
"5392" "Tortricidae_cluster131" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Pammene" "Pammene_X" "BOLAAB6551" "Pammene perstructana" 8 0.571428571428571 "NoMatch" "" ""
"5397" "Nymphalidae_cluster12" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nymphalidae" "Coenonympha" "Coenonympha_X" "BOLACF1425" "Coenonympha arcania" 67 0.817073170731707 "Exact" "Coenonympha arcania" "Bofast och reproducerande"
"5408" "Tortricidae_cluster132" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Lobesia" "Lobesia_X" "BOLAAE0344" "Lobesia abscisana" 9 0.642857142857143 "Exact" "Lobesia abscisana" "Bofast och reproducerande"
"5424" "Coleophoridae_cluster18" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Coleophoridae" "Coleophora" "Coleophora_X" "BOLAAF3727" "Unspecified*" 13 0.65 "" "" ""
"5561" "Tortricidae_cluster135" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Pammene" "Pammene_X" "BOLAAB6550" "Pammene perstructana" 10 0.5 "NoMatch" "" ""
"5587" "Oecophoridae_cluster12" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Oecophoridae" "Schiffermuelleria" "Schiffermuelleria_X" "BOLAAM9881" "Telechrysis tripuncta" 5 1 "Exact" "Telechrysis tripuncta" "Bofast och reproducerande"
"5637" "Psychidae_cluster6" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Psychidae" "Solenobia" "Solenobia_X" "BOLAAD1523" "Dahlica lichenella" 554 0.892109500805153 "Exact" "Dahlica lichenella" "Bofast och reproducerande"
"5793" "Eriocraniidae_cluster1" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Eriocraniidae" "Eriocraniidae_X" "Eriocraniidae_XX" "BOLAAF3179" "Eriocrania unimaculella" 15 0.681818181818182 "Exact" "Eriocrania unimaculella" "Bofast och reproducerande"
"5805" "Autostichidae_cluster1" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Autostichidae" "Oegoconia" "Oegoconia_X" "BOLAAB8271" "Oegoconia deauratella" 38 0.716981132075472 "Exact" "Oegoconia deauratella" "Bofast och reproducerande"
"6015" "Tortricidae_cluster143" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Eucosma" "Eucosma_X" "BOLAAB4295" "Eucosma hohenwartiana" 54 0.551020408163265 "Exact" "Eucosma hohenwartiana" "Bofast och reproducerande"
"6142" "Geometridae_cluster102" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Boudinotiana" "Boudinotiana_X" "BOLAAD8337" "Boudinotiana notha" 18 0.529411764705882 "Exact" "Boudinotiana notha" "Bofast och reproducerande"
"6263" "Elachistidae_cluster32" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Elachistidae" "Elachista" "Elachista_X" "BOLAAK9162" "Leucoptera malifoliella" 10 0.909090909090909 "Exact" "Leucoptera malifoliella" "Bofast och reproducerande"
"6273" "Geometridae_cluster103" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Cyclophora" "Cyclophora_X" "BOLAAB4698" "Cyclophora punctaria" 59 0.641304347826087 "Exact" "Cyclophora punctaria" "Bofast och reproducerande"
"6436" "Incurvariidae_cluster6" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Incurvariidae" "Incurvaria" "Incurvaria_X" "BOLAAF4456" "Lampronia flavimitrella" 9 0.9 "Exact" "Lampronia flavimitrella" "Bofast och reproducerande"
"6731" "Plutellidae_cluster4" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Plutellidae" "Ypsolophus" "Ypsolophus_X" "BOLAAF5823" "Ypsolopha asperella" 14 0.875 "Exact" "Ypsolopha asperella" "Bofast och reproducerande"
"6812" "Psychidae_cluster7" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Psychidae" "Solenobia" "Solenobia_X" "BOLAAI5841" "Dahlica charlottae" 60 0.9375 "Exact" "Dahlica charlottae" "Bofast och reproducerande"
"6858" "Eriocraniidae_cluster3" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Eriocraniidae" "Eriocrania" "Eriocrania_X" "BOLAAB3768" "Eriocrania semipurpurella" 22 0.44 "Exact" "Eriocrania semipurpurella" "Bofast och reproducerande"
"6922" "Pyralidae_cluster5" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Pyralidae" "Ortholepis" "Ortholepis_X" "BOLAAC3584" "Ortholepis myricella" 8 0.333333333333333 "NoMatch" "" ""
"7084" "Psychidae_cluster8" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Psychidae" "Solenobia" "Solenobia_X" "BOLAAD1522" "Dahlica triquetrella" 27 1 "Exact" "Dahlica triquetrella" "Bofast och reproducerande"
"7182" "Incurvariidae_cluster7" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Incurvariidae" "Lampronia" "Lampronia_X" "BOLAAD4280" "Incurvaria praelatella" 15 0.88235294117647 "Exact" "Incurvaria praelatella" "Bofast och reproducerande"
"7229" "Noctuidae_cluster96" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Hoplodrina" "Hoplodrina_X" "BOLAAB0832" "Hoplodrina ambigua" 68 0.918918918918919 "Exact" "Hoplodrina ambigua" "Bofast och reproducerande"
"7278" "Lypusidae_cluster6" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Lypusidae" "Lypusidae_X" "Lypusidae_XX" "BOLAAE8293" "Agnoea elsae" 13 0.68421052631579 "Exact" "Agnoea elsae" "Bofast och reproducerande"
"7280" "Noctuidae_cluster97" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Diarsia" "Diarsia_X" "BOLAAB0038" "Diarsia mendica" 11 0.366666666666667 "Exact" "Diarsia mendica" "Bofast och reproducerande"
"7321" "Noctuidae_cluster98" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Enargia" "Enargia_X" "BOLAAA7455" "Enargia decolor" 201 0.57593123209169 "NoMatch" "" ""
"7667" "Coleophoridae_cluster30" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Coleophoridae" "Coleophora" "Coleophora_X" "BOLAAB3185" "Coleophora otidipennella" 17 0.80952380952381 "Exact" "Coleophora otidipennella" "Bofast och reproducerande"
