Ursprunglig namnsträng;Matchningsstatus;Taxon-id;Vetenskapligt namn;Auktor;Vetenskapliga synonymer;Svensk förekomst
Earophila badiata;Exact;215715;Earophila badiata;(Denis & Schiffermüller, 1775);Anticlea badiata (Denis & Schiffermüller, 1775);Bofast och reproducerande
Coleophora otidipennella;Exact;214507;Coleophora otidipennella;(Hübner, 1817);;Bofast och reproducerande
Hemaris tityus;Exact;101060;Hemaris tityus;(Linnaeus, 1758);"Sphinx tityus Linnaeus, 1758; Haemorrhagia tityus (Linnaeus, 1758); svävflugelik dagsvärmare; svävfluglik dagsvärmare; svävdagsvärmare";Bofast och reproducerande
Athrips tetrapunctella;Exact;214711;Athrips tetrapunctellus;(Thunberg, 1794);"sumpvialstävmal; Athrips tetrapunctella (Thunberg, 1794)";Bofast och reproducerande
Scopula frigidaria;Exact;215661;Scopula frigidaria;Möschler, 1860;gråbrun lövmätare;Ej påträffad
Lampronia rupella;Exact;213920;Lampronia rupella;(Denis & Schiffermüller, 1775);Tinea rupella Denis & Schiffermüller, 1775;Bofast och reproducerande
Siederia rupicolella;Exact;213997;Dahlica rupicolella;(Sauter, 1954);"Solenobia rupicolella Sauter, 1954; Siederia rupicolella (Sauter, 1954)";Bofast och reproducerande
Ancylis uncella;Exact;215149;Ancylis uncella;(Denis & Schiffermüller, 1775);gråfläcksikelvecklare;Bofast och reproducerande
Acleris abietana;Exact;214880;Acleris abietana;(Hübner, 1822);"dansk granvårvecklare; Acleris nigrilineana Kawabe, 1963";Bofast och reproducerande
Bacotia claustrella;Exact;100437;Bacotia claustrella;(Bruand, 1845);"Psyche claustrella Bruand, 1845; Bacotia sepium (Speyer, 1846)";Bofast och reproducerande
Ypsolopha sequella;Exact;214195;Ypsolopha sequella;(Clerck, 1759);Phalaena sequella Clerck, 1759;Bofast och reproducerande
Incurvaria oehlmanniella;Exact;213928;Incurvaria oehlmanniella;(Hübner, 1796);"Tinea oehlmanniella Hübner, 1796; blåbärsbredvingemal; blåbärsbredmal";Bofast och reproducerande
Lampronia corticella;Exact;213916;Lampronia corticella;(Linnaeus, 1758);"Tinea rubiella Bjerkander, 1781; hallonmal; Phalaena corticella Linnaeus, 1758; Lampronia rubiella (Bjerkander, 1781)";Bofast och reproducerande
Autographa pulchrina;Exact;215945;Autographa pulchrina;(Haworth, 1809);purpurfärgat metallfly;Bofast och reproducerande
